study,author,year,site,country,latitude,longitude,virus.type,month,cases,hum,templow,temphigh,precip
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,229E,1,2,80,22,31,166
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,Alpha,1,5,80,22,31,166
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,NL63,1,3,80,22,31,166
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,229E,2,2,78,22,32,158
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,Alpha,2,3,78,22,32,158
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,NL63,2,1,78,22,32,158
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,229E,3,5,80,22,33,238
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,Alpha,3,5,80,22,33,238
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,NL63,3,0,80,22,33,238
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,229E,4,2,82,23,33,277
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,Alpha,4,3,82,23,33,277
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,NL63,4,1,82,23,33,277
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,229E,5,3,80,23,32,221
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,Alpha,5,4,80,23,32,221
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,NL63,5,1,80,23,32,221
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,229E,6,1,79,23,32,136
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,Alpha,6,6,79,23,32,136
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,NL63,6,5,79,23,32,136
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,229E,7,2,79,22,32,129
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,Alpha,7,13,79,22,32,129
2,Al-Khannaq,2016,Kuala Lumpur,Malaysia,3.1516636,101.6943028,NL63,7,11,79,22,32,129
