study,site,country,virus.type,month,cases
Brittain-Long,Gothenburg,Sweden,229E,1,5
Brittain-Long,Gothenburg,Sweden,229E,2,4
Brittain-Long,Gothenburg,Sweden,229E,3,5
Brittain-Long,Gothenburg,Sweden,229E,4,3
Brittain-Long,Gothenburg,Sweden,229E,5,5
Brittain-Long,Gothenburg,Sweden,229E,6,8
Brittain-Long,Gothenburg,Sweden,229E,7,1
Brittain-Long,Gothenburg,Sweden,229E,8,1
Brittain-Long,Gothenburg,Sweden,229E,9,0
Brittain-Long,Gothenburg,Sweden,229E,10,0
Brittain-Long,Gothenburg,Sweden,229E,11,0
Brittain-Long,Gothenburg,Sweden,229E,12,1
Brittain-Long,Gothenburg,Sweden,NL63,1,10
Brittain-Long,Gothenburg,Sweden,NL63,2,31
Brittain-Long,Gothenburg,Sweden,NL63,3,18
Brittain-Long,Gothenburg,Sweden,NL63,4,6
Brittain-Long,Gothenburg,Sweden,NL63,5,8
Brittain-Long,Gothenburg,Sweden,NL63,6,2
Brittain-Long,Gothenburg,Sweden,NL63,7,3
Brittain-Long,Gothenburg,Sweden,NL63,8,0
Brittain-Long,Gothenburg,Sweden,NL63,9,0
Brittain-Long,Gothenburg,Sweden,NL63,10,0
Brittain-Long,Gothenburg,Sweden,NL63,11,0
Brittain-Long,Gothenburg,Sweden,NL63,12,4
Brittain-Long,Gothenburg,Sweden,OC43,1,29
Brittain-Long,Gothenburg,Sweden,OC43,2,22
Brittain-Long,Gothenburg,Sweden,OC43,3,9
Brittain-Long,Gothenburg,Sweden,OC43,4,4
Brittain-Long,Gothenburg,Sweden,OC43,5,2
Brittain-Long,Gothenburg,Sweden,OC43,6,3
Brittain-Long,Gothenburg,Sweden,OC43,7,2
Brittain-Long,Gothenburg,Sweden,OC43,8,3
Brittain-Long,Gothenburg,Sweden,OC43,9,3
Brittain-Long,Gothenburg,Sweden,OC43,10,12
Brittain-Long,Gothenburg,Sweden,OC43,11,6
Brittain-Long,Gothenburg,Sweden,OC43,12,29
Chiu,Hong Kong,China,229E,1,0
Chiu,Hong Kong,China,229E,2,2
Chiu,Hong Kong,China,229E,3,0
Chiu,Hong Kong,China,229E,4,0
Chiu,Hong Kong,China,229E,5,0
Chiu,Hong Kong,China,229E,6,0
Chiu,Hong Kong,China,229E,7,0
Chiu,Hong Kong,China,229E,8,0
Chiu,Hong Kong,China,229E,9,0
Chiu,Hong Kong,China,229E,10,0
Chiu,Hong Kong,China,229E,11,0
Chiu,Hong Kong,China,229E,12,0
Chiu,Hong Kong,China,NL63,1,0
Chiu,Hong Kong,China,NL63,2,1
Chiu,Hong Kong,China,NL63,3,2
Chiu,Hong Kong,China,NL63,4,2
Chiu,Hong Kong,China,NL63,5,2
Chiu,Hong Kong,China,NL63,6,0
Chiu,Hong Kong,China,NL63,7,5
Chiu,Hong Kong,China,NL63,8,2
Chiu,Hong Kong,China,NL63,9,0
Chiu,Hong Kong,China,NL63,10,1
Chiu,Hong Kong,China,NL63,11,0
Chiu,Hong Kong,China,NL63,12,0
Chiu,Hong Kong,China,OC43,1,0
Chiu,Hong Kong,China,OC43,2,1
Chiu,Hong Kong,China,OC43,3,0
Chiu,Hong Kong,China,OC43,4,0
Chiu,Hong Kong,China,OC43,5,0
Chiu,Hong Kong,China,OC43,6,1
Chiu,Hong Kong,China,OC43,7,0
Chiu,Hong Kong,China,OC43,8,0
Chiu,Hong Kong,China,OC43,9,0
Chiu,Hong Kong,China,OC43,10,1
Chiu,Hong Kong,China,OC43,11,3
Chiu,Hong Kong,China,OC43,12,3
Galanti,New York City,USA,229E,1,7
Galanti,New York City,USA,229E,2,5
Galanti,New York City,USA,229E,3,1
Galanti,New York City,USA,229E,4,0
Galanti,New York City,USA,229E,5,0
Galanti,New York City,USA,229E,6,0
Galanti,New York City,USA,229E,7,0
Galanti,New York City,USA,229E,8,0
Galanti,New York City,USA,229E,9,0
Galanti,New York City,USA,229E,10,9
Galanti,New York City,USA,229E,11,6
Galanti,New York City,USA,229E,12,3
Galanti,New York City,USA,HKU1,1,9
Galanti,New York City,USA,HKU1,2,1
Galanti,New York City,USA,HKU1,3,2
Galanti,New York City,USA,HKU1,4,2
Galanti,New York City,USA,HKU1,5,0
Galanti,New York City,USA,HKU1,6,0
Galanti,New York City,USA,HKU1,7,0
Galanti,New York City,USA,HKU1,8,1
Galanti,New York City,USA,HKU1,9,0
Galanti,New York City,USA,HKU1,10,1
Galanti,New York City,USA,HKU1,11,6
Galanti,New York City,USA,HKU1,12,6
Galanti,New York City,USA,NL63,1,7
Galanti,New York City,USA,NL63,2,0
Galanti,New York City,USA,NL63,3,1
Galanti,New York City,USA,NL63,4,0
Galanti,New York City,USA,NL63,5,0
Galanti,New York City,USA,NL63,6,0
Galanti,New York City,USA,NL63,7,0
Galanti,New York City,USA,NL63,8,0
Galanti,New York City,USA,NL63,9,0
Galanti,New York City,USA,NL63,10,4
Galanti,New York City,USA,NL63,11,2
Galanti,New York City,USA,NL63,12,1
Galanti,New York City,USA,OC43,1,2
Galanti,New York City,USA,OC43,2,6
Galanti,New York City,USA,OC43,3,3
Galanti,New York City,USA,OC43,4,1
Galanti,New York City,USA,OC43,5,0
Galanti,New York City,USA,OC43,6,1
Galanti,New York City,USA,OC43,7,1
Galanti,New York City,USA,OC43,8,0
Galanti,New York City,USA,OC43,9,1
Galanti,New York City,USA,OC43,10,8
Galanti,New York City,USA,OC43,11,15
Galanti,New York City,USA,OC43,12,10
Heimdal,Sør-Trøndelag,Norway,229E,1,0
Heimdal,Sør-Trøndelag,Norway,229E,2,3
Heimdal,Sør-Trøndelag,Norway,229E,3,5
Heimdal,Sør-Trøndelag,Norway,229E,4,5
Heimdal,Sør-Trøndelag,Norway,229E,5,1
Heimdal,Sør-Trøndelag,Norway,229E,6,1
