tree,site,country,type,month,cases,nonrecombinant
IQTREE,Beijing,China,CoV2,1,4.167989362,no
IQTREE,Beijing,China,CoV2,2,6.754129197,no
IQTREE,Beijing,China,CoV2,3,8.833776087,no
IQTREE,Beijing,China,CoV2,4,9.387706964,no
IQTREE,Beijing,China,CoV2,5,8.417846709,no
IQTREE,Beijing,China,CoV2,6,13.6206389,no
IQTREE,Beijing,China,CoV2,7,9.86992456,no
IQTREE,Beijing,China,CoV2,8,4.682065126,no
IQTREE,Beijing,China,CoV2,9,11.1339911,no
IQTREE,Beijing,China,CoV2,10,10.84783339,no
IQTREE,Beijing,China,CoV2,11,6.565885,no
IQTREE,Beijing,China,CoV2,12,5.7182136,no
IQTREE,Tampere,Finland,CoV2,1,10.98845823,no
IQTREE,Tampere,Finland,CoV2,2,25.20308542,no
IQTREE,Tampere,Finland,CoV2,3,14.31479498,no
IQTREE,Tampere,Finland,CoV2,4,7.969184652,no
IQTREE,Tampere,Finland,CoV2,5,5.113514069,no
IQTREE,Tampere,Finland,CoV2,6,5.113514069,no
IQTREE,Tampere,Finland,CoV2,7,4.082009211,no
IQTREE,Tampere,Finland,CoV2,8,4.082009211,no
IQTREE,Tampere,Finland,CoV2,9,5.113514069,no
IQTREE,Tampere,Finland,CoV2,10,4.082009211,no
IQTREE,Tampere,Finland,CoV2,11,5.113514069,no
IQTREE,Tampere,Finland,CoV2,12,8.824392814,no
IQTREE,Guangzhou,China,CoV2,1,14.31591092,no
IQTREE,Guangzhou,China,CoV2,2,17.98512225,no
IQTREE,Guangzhou,China,CoV2,3,10.09760234,no
IQTREE,Guangzhou,China,CoV2,4,8.101847075,no
IQTREE,Guangzhou,China,CoV2,5,3.968569832,no
IQTREE,Guangzhou,China,CoV2,6,3.174229484,no
IQTREE,Guangzhou,China,CoV2,7,2.521353181,no
IQTREE,Guangzhou,China,CoV2,8,1.718230255,no
IQTREE,Guangzhou,China,CoV2,9,2.555375168,no
IQTREE,Guangzhou,China,CoV2,10,4.077147198,no
IQTREE,Guangzhou,China,CoV2,11,13.64236453,no
IQTREE,Guangzhou,China,CoV2,12,17.84224777,no
IQTREE,Hong Kong,China,CoV2,1,9.913465545,no
IQTREE,Hong Kong,China,CoV2,2,6.467976084,no
IQTREE,Hong Kong,China,CoV2,3,5.751280392,no
IQTREE,Hong Kong,China,CoV2,4,6.467976084,no
IQTREE,Hong Kong,China,CoV2,5,5.229443477,no
IQTREE,Hong Kong,China,CoV2,6,5.531671417,no
IQTREE,Hong Kong,China,CoV2,7,6.377156077,no
IQTREE,Hong Kong,China,CoV2,8,5.440851409,no
IQTREE,Hong Kong,China,CoV2,9,8.133009245,no
IQTREE,Hong Kong,China,CoV2,10,7.601638258,no
IQTREE,Hong Kong,China,CoV2,11,15.3141833,no
IQTREE,Hong Kong,China,CoV2,12,17.77134871,no
IQTREE,Sarlahi,Nepal,CoV2,1,16.48509269,no
IQTREE,Sarlahi,Nepal,CoV2,2,20.71733147,no
IQTREE,Sarlahi,Nepal,CoV2,3,8.562214782,no
IQTREE,Sarlahi,Nepal,CoV2,4,5.334650534,no
IQTREE,Sarlahi,Nepal,CoV2,5,7.86891488,no
IQTREE,Sarlahi,Nepal,CoV2,6,5.77489678,no
IQTREE,Sarlahi,Nepal,CoV2,7,2.012776742,no
IQTREE,Sarlahi,Nepal,CoV2,8,4.569874714,no
