site,country,type,month,cases
Amsterdam,Netherlands,229E,1,12.5
Amsterdam,Netherlands,229E,2,10.5
Amsterdam,Netherlands,229E,3,10.5
Amsterdam,Netherlands,229E,4,10.7
Amsterdam,Netherlands,229E,5,8
Amsterdam,Netherlands,229E,6,6
Amsterdam,Netherlands,229E,7,4
Amsterdam,Netherlands,229E,8,3.9
Amsterdam,Netherlands,229E,9,3.2
Amsterdam,Netherlands,229E,10,7.9
Amsterdam,Netherlands,229E,11,11.6
Amsterdam,Netherlands,229E,12,11.7
Amsterdam,Netherlands,HKU1,1,8.6
Amsterdam,Netherlands,HKU1,2,11.7
Amsterdam,Netherlands,HKU1,3,11.7
Amsterdam,Netherlands,HKU1,4,10.3
Amsterdam,Netherlands,HKU1,5,13.5
Amsterdam,Netherlands,HKU1,6,10
Amsterdam,Netherlands,HKU1,7,8.3
Amsterdam,Netherlands,HKU1,8,6.7
Amsterdam,Netherlands,HKU1,9,5.1
Amsterdam,Netherlands,HKU1,10,5.1
Amsterdam,Netherlands,HKU1,11,1.8
Amsterdam,Netherlands,HKU1,12,10.3
Amsterdam,Netherlands,NL63,1,10
Amsterdam,Netherlands,NL63,2,13.8
Amsterdam,Netherlands,NL63,3,13.8
Amsterdam,Netherlands,NL63,4,11.5
Amsterdam,Netherlands,NL63,5,6.3
Amsterdam,Netherlands,NL63,6,4.1
Amsterdam,Netherlands,NL63,7,4.1
Amsterdam,Netherlands,NL63,8,6.1
Amsterdam,Netherlands,NL63,9,6
Amsterdam,Netherlands,NL63,10,7.6
Amsterdam,Netherlands,NL63,11,8.2
Amsterdam,Netherlands,NL63,12,8.6
Amsterdam,Netherlands,OC43,1,10.8
Amsterdam,Netherlands,OC43,2,11.4
Amsterdam,Netherlands,OC43,3,10.5
Amsterdam,Netherlands,OC43,4,10.2
Amsterdam,Netherlands,OC43,5,10
Amsterdam,Netherlands,OC43,6,6.9
Amsterdam,Netherlands,OC43,7,5.3
Amsterdam,Netherlands,OC43,8,4.9
Amsterdam,Netherlands,OC43,9,4.7
Amsterdam,Netherlands,OC43,10,6.1
Amsterdam,Netherlands,OC43,11,9
Amsterdam,Netherlands,OC43,12,10.3
Amsterdam,Netherlands,CoV2,1,10.36490952
Amsterdam,Netherlands,CoV2,2,11.72902677
Amsterdam,Netherlands,CoV2,3,11.44955253
Amsterdam,Netherlands,CoV2,4,10.5698381
Amsterdam,Netherlands,CoV2,5,9.948042765
Amsterdam,Netherlands,CoV2,6,7.125235578
Amsterdam,Netherlands,CoV2,7,7.125235578
Amsterdam,Netherlands,CoV2,8,5.43725216
Amsterdam,Netherlands,CoV2,9,4.733234743
Amsterdam,Netherlands,CoV2,10,6.455945372
Amsterdam,Netherlands,CoV2,11,7.272229599
Amsterdam,Netherlands,CoV2,12,10.29230065
Beijing,China,229E,1,7.407407407
Beijing,China,229E,2,3.703703704
Beijing,China,229E,3,3.703703704
Beijing,China,229E,4,22.22222222
Beijing,China,229E,5,3.703703704
Beijing,China,229E,6,3.703703704
Beijing,China,229E,7,3.703703704
Beijing,China,229E,8,3.703703704
Beijing,China,229E,9,11.11111111
Beijing,China,229E,10,22.22222222
Beijing,China,229E,11,11.11111111
Beijing,China,229E,12,3.703703704
Beijing,China,HKU1,1,3.846153846
Beijing,China,HKU1,2,11.53846154
Beijing,China,HKU1,3,11.53846154
Beijing,China,HKU1,4,7.692307692
Beijing,China,HKU1,5,11.53846154
Beijing,China,HKU1,6,7.692307692
Beijing,China,HKU1,7,15.38461538
Beijing,China,HKU1,8,3.846153846
Beijing,China,HKU1,9,11.53846154
Beijing,China,HKU1,10,3.846153846
Beijing,China,HKU1,11,3.846153846
Beijing,China,HKU1,12,7.692307692
Beijing,China,NL63,1,5
Beijing,China,NL63,2,5
Beijing,China,NL63,3,5
Beijing,China,NL63,4,5
Beijing,China,NL63,5,5
Beijing,China,NL63,6,5
Beijing,China,NL63,7,5
Beijing,China,NL63,8,10
Beijing,China,NL63,9,15
Beijing,China,NL63,10,20
Beijing,China,NL63,11,10
Beijing,China,NL63,12,10
Beijing,China,OC43,1,1.612903226
Beijing,China,OC43,2,3.225806452
Beijing,China,OC43,3,11.29032258
Beijing,China,OC43,4,4.838709677
Beijing,China,OC43,5,9.677419355
Beijing,China,OC43,6,35.48387097
Beijing,China,OC43,7,9.677419355
Beijing,China,OC43,8,3.225806452
Beijing,China,OC43,9,8.064516129
Beijing,China,OC43,10,6.451612903
Beijing,China,OC43,11,4.838709677
Beijing,China,OC43,12,1.612903226
Beijing,China,CoV2,1,4.118066417
Beijing,China,CoV2,2,6.114086685
Beijing,China,CoV2,3,8.618336158
Beijing,China,CoV2,4,9.414492159
Beijing,China,CoV2,5,8.117486264
Beijing,China,CoV2,6,14.98937264
Beijing,China,CoV2,7,9.2591982
Beijing,China,CoV2,8,4.729660385
Beijing,China,CoV2,9,10.99113853
Beijing,China,CoV2,10,11.47062285
Beijing,China,CoV2,11,6.807017287
Beijing,China,CoV2,12,5.370522429
Colorado,USA,CoV2,1,5.129655921
Colorado,USA,CoV2,2,13.09868885
Colorado,USA,CoV2,3,19.32915814
Colorado,USA,CoV2,4,15.75805679
Colorado,USA,CoV2,5,10.25931184
Colorado,USA,CoV2,6,10.25931184
Colorado,USA,CoV2,7,5.01300065
Colorado,USA,CoV2,8,4.087659581
Colorado,USA,CoV2,9,4.087659581
Colorado,USA,CoV2,10,4.454597367
Colorado,USA,CoV2,11,4.087659581
Colorado,USA,CoV2,12,5.863531494
Colorado,USA,229E,1,4.347826087
Colorado,USA,229E,2,8.695652174
Colorado,USA,229E,3,21.73913043
Colorado,USA,229E,4,8.695652174
Colorado,USA,229E,5,21.73913043
Colorado,USA,229E,6,8.695652174
Colorado,USA,229E,7,4.347826087
Colorado,USA,229E,8,4.347826087
Colorado,USA,229E,9,4.347826087
Colorado,USA,229E,10,4.347826087
Colorado,USA,229E,11,4.347826087
Colorado,USA,229E,12,4.347826087
Colorado,USA,HKU1,1,7.142857143
Colorado,USA,HKU1,2,14.28571429
Colorado,USA,HKU1,3,7.142857143
Colorado,USA,HKU1,4,14.28571429
Colorado,USA,HKU1,5,7.142857143
Colorado,USA,HKU1,6,7.142857143
Colorado,USA,HKU1,7,7.142857143
Colorado,USA,HKU1,8,7.142857143
Colorado,USA,HKU1,9,7.142857143
Colorado,USA,HKU1,10,7.142857143
Colorado,USA,HKU1,11,7.142857143
Colorado,USA,HKU1,12,7.142857143
Colorado,USA,NL63,1,18.36734694
Colorado,USA,NL63,2,28.57142857
Colorado,USA,NL63,3,16.32653061
Colorado,USA,NL63,4,8.163265306
Colorado,USA,NL63,5,4.081632653
Colorado,USA,NL63,6,2.040816327
Colorado,USA,NL63,7,2.040816327
Colorado,USA,NL63,8,2.040816327
Colorado,USA,NL63,9,4.081632653
Colorado,USA,NL63,10,2.040816327
Colorado,USA,NL63,11,8.163265306
Colorado,USA,NL63,12,4.081632653
Colorado,USA,OC43,1,21.73913043
Colorado,USA,OC43,2,26.08695652
Colorado,USA,OC43,3,19.56521739
Colorado,USA,OC43,4,8.695652174
Colorado,USA,OC43,5,4.347826087
Colorado,USA,OC43,6,2.173913043
Colorado,USA,OC43,7,2.173913043
Colorado,USA,OC43,8,2.173913043
Colorado,USA,OC43,9,2.173913043
Colorado,USA,OC43,10,2.173913043
Colorado,USA,OC43,11,4.347826087
Colorado,USA,OC43,12,4.347826087
Gothenburg,Sweden,CoV2,1,18.63057349
Gothenburg,Sweden,CoV2,2,19.44639963
Gothenburg,Sweden,CoV2,3,11.32091999
Gothenburg,Sweden,CoV2,4,5.428934732
Gothenburg,Sweden,CoV2,5,6.016387211
Gothenburg,Sweden,CoV2,6,6.771876317
Gothenburg,Sweden,CoV2,7,6.771876317
Gothenburg,Sweden,CoV2,8,2.629409141
Gothenburg,Sweden,CoV2,9,2.098926197
Gothenburg,Sweden,CoV2,10,6.160626102
Gothenburg,Sweden,CoV2,11,3.452826165
Gothenburg,Sweden,CoV2,12,15.22138201
Gothenburg,Sweden,229E,1,13.33333333
Gothenburg,Sweden,229E,2,11.11111111
Gothenburg,Sweden,229E,3,13.33333333
Gothenburg,Sweden,229E,4,8.888888889
Gothenburg,Sweden,229E,5,13.33333333
Gothenburg,Sweden,229E,6,20
Gothenburg,Sweden,229E,7,4.444444444
Gothenburg,Sweden,229E,8,4.444444444
Gothenburg,Sweden,229E,9,2.222222222
Gothenburg,Sweden,229E,10,2.222222222
Gothenburg,Sweden,229E,11,2.222222222
Gothenburg,Sweden,229E,12,4.444444444
Gothenburg,Sweden,NL63,1,11.70212766
Gothenburg,Sweden,NL63,2,34.04255319
Gothenburg,Sweden,NL63,3,20.21276596
Gothenburg,Sweden,NL63,4,7.446808511
Gothenburg,Sweden,NL63,5,9.574468085
Gothenburg,Sweden,NL63,6,3.191489362
Gothenburg,Sweden,NL63,7,4.255319149
Gothenburg,Sweden,NL63,8,1.063829787
Gothenburg,Sweden,NL63,9,1.063829787
Gothenburg,Sweden,NL63,10,1.063829787
Gothenburg,Sweden,NL63,11,1.063829787
Gothenburg,Sweden,NL63,12,5.319148936
Gothenburg,Sweden,OC43,1,23.38709677
Gothenburg,Sweden,OC43,2,17.74193548
Gothenburg,Sweden,OC43,3,7.258064516
Gothenburg,Sweden,OC43,4,3.225806452
Gothenburg,Sweden,OC43,5,1.612903226
Gothenburg,Sweden,OC43,6,2.419354839
Gothenburg,Sweden,OC43,7,1.612903226
Gothenburg,Sweden,OC43,8,2.419354839
Gothenburg,Sweden,OC43,9,2.419354839
Gothenburg,Sweden,OC43,10,9.677419355
Gothenburg,Sweden,OC43,11,4.838709677
Gothenburg,Sweden,OC43,12,23.38709677
Guangzhou,China,229E,1,3.571428571
Guangzhou,China,229E,2,14.28571429
Guangzhou,China,229E,3,21.42857143
Guangzhou,China,229E,4,21.42857143
Guangzhou,China,229E,5,7.142857143
Guangzhou,China,229E,6,7.142857143
Guangzhou,China,229E,7,3.571428571
Guangzhou,China,229E,8,3.571428571
Guangzhou,China,229E,9,3.571428571
Guangzhou,China,229E,10,3.571428571
Guangzhou,China,229E,11,7.142857143
Guangzhou,China,229E,12,3.571428571
Guangzhou,China,HKU1,1,11.29032258
Guangzhou,China,HKU1,2,25.80645161
Guangzhou,China,HKU1,3,4.838709677
Guangzhou,China,HKU1,4,3.225806452
Guangzhou,China,HKU1,5,1.612903226
Guangzhou,China,HKU1,6,1.612903226
Guangzhou,China,HKU1,7,1.612903226
Guangzhou,China,HKU1,8,1.612903226
Guangzhou,China,HKU1,9,3.225806452
Guangzhou,China,HKU1,10,4.838709677
Guangzhou,China,HKU1,11,19.35483871
Guangzhou,China,HKU1,12,20.96774194
Guangzhou,China,NL63,1,21.875
Guangzhou,China,NL63,2,22.91666667
Guangzhou,China,NL63,3,14.58333333
Guangzhou,China,NL63,4,6.25
Guangzhou,China,NL63,5,2.083333333
Guangzhou,China,NL63,6,4.166666667
Guangzhou,China,NL63,7,3.125
Guangzhou,China,NL63,8,1.041666667
Guangzhou,China,NL63,9,1.041666667
Guangzhou,China,NL63,10,1.041666667
Guangzhou,China,NL63,11,6.25
Guangzhou,China,NL63,12,15.625
